Date,Town,State/Province,Latitude,Longitude,Number
10/21/2020,Springfield,MO,37.3,-93.3,1
10/21/2020,Stephenville,TX,32.3,-98.2,7
10/21/2020,Telford,TN,36.2,-82.5,2
10/21/2020,Temple,TX,31,-97.3,3
10/21/2020,Toms River,NJ,40,-74.2,1
10/21/2020,Town of Amherst,MA,42.4,-72.5,1
10/21/2020,Tracys Landing,MD,38.8,-76.6,2
10/21/2020,Tulsa,OK,36.2,-96,1
10/21/2020,Tulsa,OK,36.2,-96,1
10/21/2020,Tulsa,OK,36.2,-96,1
10/21/2020,Tyler,TX,32.3,-95.3,52
10/21/2020,Vernon Rockville,CT,41.8,-72.5,1
10/21/2020,Wantagh,NY,40.6,-73.6,6
10/21/2020,Waynesville,OH,39.5,-84.1,2
10/21/2020,Weatherford,TX,32.7,-97.9,12
10/21/2020,Weaverville,NC,35.7,-82.6,5
10/21/2020,Wilton,CT,41.2,-73.5,1
10/21/2020,Woodland,CA,38.7,-121.8,1
10/22/2020,Absecon,NJ,39.5,-74.5,6
10/22/2020,Arlington,TX,32.7,-97.2,4
10/22/2020,Asheville,NC,35.6,-82.6,1
10/22/2020,Austin,TX,30.3,-97.8,6
10/22/2020,Austin,TX,30.3,-97.8,1
10/22/2020,Binghamton,NY,42.1,-75.9,3
10/22/2020,Bloomington,IN,39.1,-86.5,4
10/22/2020,Bowie,MD,39,-76.7,2
10/22/2020,Bowie,MD,39,-76.7,2
10/22/2020,Bowling Green,OH,41.4,-83.7,2
10/22/2020,Bridgeview,IL,41.8,-87.8,1
10/22/2020,Cape Charles,VA,37.3,-76,1
10/22/2020,Chestertown,MD,39.2,-76.1,8
10/22/2020,Columbia,MD,39.2,-76.9,1
10/22/2020,Columbus,OH,39.9,-83.1,1
10/22/2020,Columbus,OH,39.9,-83.1,1
10/22/2020,Comfort,TX,30.1,-99,8
10/22/2020,Connellsville,PA,40,-79.6,25
10/22/2020,Dallas,TX,32.8,-96.7,8
10/22/2020,Douglass,TX,31.6,-94.9,1
10/22/2020,Douglassville,TX,33.2,-94.4,2
10/22/2020,Duluth,GA,34,-84.1,2
10/22/2020,East End,US Virgin Islands,17.8,-64.7,1
10/22/2020,Elkton,MD,39.5,-75.9,1
10/22/2020,Etna,NH,43.7,-72.2,1
10/22/2020,Exeter,NH,43,-70.9,1
10/22/2020,Fairborn,OH,39.8,-84,1
10/22/2020,Fairfield,PA,39.8,-77.4,1
10/22/2020,Fayetteville,AR,36.1,-94.2,3
10/22/2020,Floresville,TX,29.1,-98.2,1
10/22/2020,Fort Myers,FL,26.5,-81.8,1
10/22/2020,Fort Myers,FL,26.5,-81.8,1
10/22/2020,Fort Worth,TX,32.7,-97.4,3
10/22/2020,Fredericksburg,VA,38.3,-77.5,1
10/22/2020,Fredericksburg,VA,38.3,-77.5,1
10/22/2020,Fredericksburg,VA,38.3,-77.5,1
10/22/2020,Fredericksburg,VA,38.3,-77.5,1
10/22/2020,Fredericksburg,VA,38.3,-77.5,1
10/22/2020,Fredericksburg,VA,38.3,-77.5,1
10/22/2020,Gómez Farías,TAM,23,-99.2,100
10/22/2020,Hartford,CT,41.8,-72.7,1
10/22/2020,Huixquilucan,MEX,19.4,-99.2,4
10/22/2020,Indianapolis,IN,39.9,-86.1,1
10/22/2020,Lafayette Hill,PA,40.1,-75.3,1
10/22/2020,Lake Havasu City,AZ,34.5,-114.3,4
10/22/2020,Lexington,KY,38,-84.5,1
10/22/2020,Lincolnton,NC,35.5,-81.3,1
10/22/2020,Lunenburg,MA,42.6,-71.8,1
10/22/2020,Madison,CT,41.3,-72.6,5
10/22/2020,Marble Falls,TX,30.6,-98.4,5
10/22/2020,Morristown,NJ,40.8,-74.5,1
10/22/2020,Newburgh,IN,38,-87.4,2
10/22/2020,Newport News,VA,37.1,-76.5,1
10/22/2020,Old Lyme,CT,41.3,-72.3,4
10/22/2020,Panacea,FL,29.9,-84.4,1
10/22/2020,Petaluma,CA,38.2,-122.6,1
10/22/2020,Pitkin,LA,30.9,-92.9,1
10/22/2020,Plainview,NY,40.8,-73.5,3
10/22/2020,Plano,TX,33,-96.7,7
10/22/2020,Raleigh,NC,35.8,-78.6,1
10/22/2020,Richmond,VA,37.5,-77.4,1
10/22/2020,Roanoke,VA,37.3,-80,1
10/22/2020,Rockfield,KY,36.9,-86.6,1
10/22/2020,Saint Louis,MO,38.6,-90.4,1
10/22/2020,Salisbury,MD,38.4,-75.6,3
10/22/2020,San Antonio,TX,29.5,-98.4,23
10/22/2020,San Antonio,TX,29.5,-98.4,23
10/22/2020,San Antonio,TX,29.4,-98.5,6
10/22/2020,Saratoga Springs,NY,43.1,-73.8,1
10/22/2020,Saratoga Springs,NY,43.1,-73.8,1
10/22/2020,Shelter Island Heights,NY,41.1,-72.4,1
10/22/2020,Spartanburg,SC,34.9,-82,1
10/22/2020,Springfield,MO,37.2,-93.3,2
10/22/2020,Stearns,KY,36.8,-84.6,1
10/22/2020,Sylva,NC,35.4,-83.1,1
10/22/2020,Tempe,AZ,33.4,-111.9,1
10/22/2020,Washington,DC,39,-77.1,2
10/22/2020,Waterford,CT,41.3,-72.1,1
10/22/2020,Waterford,CT,41.3,-72.1,1
10/22/2020,Waterford,CT,41.3,-72.1,10
10/22/2020,West Hartford,CT,41.8,-72.7,1
10/23/2020,Alpharetta,GA,34.1,-84.3,1
10/23/2020,Amherst,VA,37.6,-79,3
10/23/2020,Apex,NC,35.8,-78.9,1
10/23/2020,Atlanta,GA,33.9,-84.2,1
10/23/2020,Auburn,NY,42.9,-76.5,1
10/23/2020,Auburn,NY,42.9,-76.5,1
10/23/2020,Augusta,GA,33.5,-82.1,2
10/23/2020,Austin,TX,30.3,-97.8,8
10/23/2020,Austin,TX,30.3,-97.8,3
10/23/2020,Austin,TX,30.3,-97.8,8
10/23/2020,Ballston Spa,NY,43,-73.8,1
10/23/2020,Birmingham,AL,33.3,-86.9,5
10/23/2020,Bowie,MD,39,-76.7,1
10/23/2020,Bowie,MD,39,-76.7,1
10/23/2020,Bowie,MD,39,-76.7,1
10/23/2020,Bowie,MD,39,-76.7,1
10/23/2020,Cape Charles,VA,37.3,-76,4
10/23/2020,Chestertown,MD,39.2,-76.1,10
10/23/2020,Cleveland,OH,41.5,-81.5,1
10/23/2020,Corolla,NC,36.5,-75.9,3
10/23/2020,Corpus Christi,TX,27.8,-97.4,1
10/23/2020,Dayton,OH,39.6,-84.1,2
10/23/2020,Dewey,AZ,34.6,-112.2,1
10/23/2020,Flourtown,PA,40.1,-75.2,1
10/23/2020,Fredericksburg,VA,38.3,-77.5,2
10/23/2020,Fredericksburg,VA,38.3,-77.5,1
10/23/2020,Fredericksburg,VA,38.3,-77.5,1
10/23/2020,Geneva,IN,40.6,-85,1
10/23/2020,Hickory,NC,35.8,-81.3,1
10/23/2020,Iron Station,NC,35.4,-81.2,2
